Machine,Problem,Cause,Remedy
CGL,PRESSURE NOT INCREASING,•PUMP IS NOT WORKING,1.Check the pump element for its spool clearance
CGL,PRESSURE NOT INCREASING,•CHECK VALVE IS DEFECTIVE,1. Check valve is not working.
CGL,PRESSURE NOT INCREASING,•LEAKAGE IN SYSTEM,1. Line may punctured
CGL,PRESSURE NOT INCREASING,•EMPTY RESERVOIR,1. No grease filled into the reservoir
CGL,PRESSURE NOT INCREASING,•D.M. VALVE HAS INTERNAL LEAKAGE,May internal clearance of spool increase and short circuit the system
CGL,PRESSURE NOT INCREASING,•WRONG DIRECTION OF MOTOR,Wrong connection of Motor
CGL,PRESSURE NOT INCREASING,•AIR INTRRAPED IN SYSTEM,1. No grease filled into the reservoir
CGL,Change over not taking place,•PRESSURE IS NOT DEVELOPING,1. No grease into the reservoir
CGL,Change over not taking place,•DEFECTIVE CHANGE OVER VALVE,1. Solenoid coil may weak. Or resistance of coil may weak
CGL,Change over not taking place,•LEAKAGE IN SYSTEM,1. Line may punctured 2. O ring of fitting may damaged
CGL,Change over not taking place,•END OF THE LINE PR.SWITCH IS NOT WORKING,1. No power supply to the limit switch.
CGL,Change over not taking place,•PR. SETTING IS VERY HIGH (  IN HYDRAULIC CHANGE OVERVALVE),Change over pr.  Set at  very high  limit
CGL,Change over not taking place,•SOLONOID COIL OF CHANGE,1. Solenoid coil may weak. Or resistance of coil may weak
CGL,Change over not taking place,•LEAKAGE IN SYSTEM,1. Line may punctured
CGL,Change over not taking place,•OPERATING PRESSURE  IS LOW,Required pr. for operating the D.M. valve is low.
CGL,Change over not taking place,•DEFECTIVE D.M. VALVE,1. Intermediate spool may jam.
CGL,Change over not taking place,•CONSUMING POINT IS JAM,1. contaminated grease
CGL,Change over not taking place,•GREASE PIPE IS JAM OR GREASE MAY HARD IN PIPE,1. Contaminated grease
CGL,Change over not taking place,•SPOOL MAY BEND OR DEFECTIVE,1.  Spool of particular point may bend.
CGL,Change over not taking place,SPOOL STROKE IS FULLY THROTTLED,While adjusting the flow of grease it has been fully throtlled.
CGL,Change over not taking place,•D.M. VALVE HAS INTERNAL OR EXTERNAL LEAKAGE,1. Clearance of Intermediate spool may increase.
CGL,Change over not taking place,•CHANGE OVER  IS NOT TAKING PLACE,1.Solonoid coil may weak. Or resistance of coil may weak
CGL,Change over not taking place,•TOO LONG HEADER,"Because grease is slightly compresable, ( 2% of total volume) there must be sufficient  release time. Due to long header grease will not release immediately"
CGL,Change over not taking place,•END OF THE LINE PRESSURE  SWITCH IS DEFECTIVE,1. No power supply to the limit switch.
CGL,Change over not taking place,•CHANGE OVER VALVE IS DEFECTIVE,1. Solenoid coil may weak. Or resistance of coil may weak
CGL,Change over not taking place,•MINOR LEAKAGE IN SYSTEM,1. Line may punctured
CGL,Change over not taking place,•CHECK VALVE IS DEFECTIVE,1. Check valve is not working
CGL,Change over not taking place,•PRESSURE LINE SHUT OFF VALVE OF STAND BY PUMP IS PARTIALY OPEN,If there is two pump one is running and another is in standby then there may be chance of pressure line valve of stand by pump may partially open
CGL,Change over not taking place,INCREASE•LEAKAGE IN SYSTEM,1.Line may punctured
CGL,Change over not taking place,•PAUSE TIMER HAS REDUCED,"Pause timer has reduced by some one, hence no of cycle increase."
CGL,Change over not taking place,•END OF THE LINE PR. SWITCH PRESSURE SETTING REDUCED,1.End of the line pr. switch spring may get  loose
CGL,Change over not taking place,•SYSTEM IS RUNNING IN CONTINUOUS MODE.,1. May system is running in continuous mode
CGL,Change over not taking place,DECREASEPAUSE TIMER HAS INCREASED,"Pause timer has increase by some one,hence no of cycle reduced."
CGL,Change over not taking place,•ANY BRANCH LINE IS BY-PASS.,Branch line shut off valve may close
CGL,Change over not taking place,•CHANGE OVER TIME HAS INCREASED,1. Minor leakage in system
CGL,Change over not taking place,•NO POWER CONNECTION,Check the power connection
CGL,Change over not taking place,•POWER CONNECTION IS WRONG,Check the power connection
CGL,Change over not taking place,•HIGH PRESSURE SWITCH IS ACTIVATED,Due to high pressure limit switch activated continuously.
CGL,Change over not taking place,•LOW  LEVEL SWITCH ACTIVATED DUE TO LOW LEVEL  IN RESERVOIR,"Grease is not in reservoir, hence low level switch activated."
CGL,Change over not taking place,•WRONG SELECTION OF PUMP,Pump selected in pannel is differnet from valve selection of other pump
CGL,Change over not taking place,•PUMP TRIP IN OVERLOAD,"Due to load, pump trip in over load"
CGL,Change over not taking place,•COUPLING MAY DAMAGE,high torque or jamming of pump
CGL,Change over not taking place,•SHAFT BROKEN,high torque or jamming of pump
CGL,Change over not taking place,•CONTAMINATED GREASE,1. Continuous contaminated grease dispensing through pump
CGL,Change over not taking place,•RUN IN OVERLOAD,"1. Due to load, pump trip in over load2. Internal parts of pump is in broken condition"
CGL,Change over not taking place,•WEAR AND TEAR IN PUMP ELEMENT,1. Due to contaminated grease.2. Fatigue failure
CGL,Change over not taking place,•HIGH  NLGI GRADE  GREASE USED,1. High consistency grease are being used
CGL,Change over not taking place,•WRONG ASSEMBLY OF PUMP,Pump has not assembled properly.
CGL,Change over not taking place,•PUMP IS RUNNING IN DRY CONDITION,No grease into the reservoir
CGL,Change over not taking place,•CONTAMINATED GREASE,1. Grease barrel are kept in dusty area.
CGL,Change over not taking place,•SEAL IS DAMAGED,Seal may damage of  follower disk
CGL,Change over not taking place,•FOLLOWER DISK ROD MAY BEND,May follower disk rod bend
CGL,Change over not taking place,•AIR INTRRAPED IN RESERVOIR,"Due to air entrapped, Follower disk may get jam."
Compressor,Compressor will not operate.,1. No electrical power.,Turn on power.
Compressor,Compressor will not operate.,2. Low oil level.,Check oil level. Replace your oil if necessary
Compressor,Compressor will not operate.,3. Pressure switch not making contact.,See pressure switch adjustment.
Compressor,Compressor will not operate.,4. Pressure in the tank is below the cut-in pressure.,See pressure switch adjustment.
Compressor,Excessive noise in operation.,"1. Loose pulley, flywheel, belt, belt guard, cooler, clamps or accessories.",Tighten any loose ends.
Compressor,Excessive noise in operation.,2. Lack of oil in crankcase.,Check for possible damage to bearings
Compressor,Excessive noise in operation.,3. Piston hitting the valve plate.,Remove the compressor cylinder head and inspect for foreign matter on top of the piston. Add a new gasket and reassemble the head.
Compressor,Excessive noise in operation.,4. Compressor floor mounting loose.,Tighten the bolts on the air compressor. It may also be a good idea to replace your vibration pads
Compressor,Excessive noise in operation.,5. Defective crankcase.,Repair or replace.
Compressor,Excessive noise in operation.,6. Excessive crank end play.,Adjust and shim properly.
Compressor,Knock - same cycle as R.P.M.,1. Main bearings.,Replace bearings.
Compressor,Knock - same cycle as R.P.M.,2. Connecting rod bearings.,Replace rod.
Compressor,Knock - same cycle as R.P.M.,3. Loose flywheel.,Tighten.
Compressor,Knock occurs while compressor is loading.,1. Connecting rod bearings.,Replace rod.
Compressor,Knock occurs while compressor is loading.,"2. Wrist pins, wrist pin bearings.",Replace piston assembly.
Compressor,Knock occurs while compressor is loading.,3. Loose connecting rod nut.,Tighten.
Compressor,Milky oil in oil reservoir.,1. Water entering oil reservoir due to compressor operating in high humidity environment.,a. Pipe air intake to less humid air source.
Compressor,Excessive oil consumption.,1. Restricted air intake.,Clean or replace air filter.
Compressor,Excessive oil consumption.,2. Oil leaks.,Tighten bolts or replace gasket.
Compressor,Excessive oil consumption.,3. Worn piston rings.,Replace rings.
Compressor,Excessive oil consumption.,4. Wrong oil viscosity.,"Drain oil, refill with oil of proper viscosity."
Compressor,Excessive oil consumption.,5. Compressor tilted too much.,Level compressor. Vibration pads may help with this
Compressor,Excessive oil consumption.,6. Scored cylinder.,Replace cylinder.
Compressor,Oil in discharge air.,1. Compressor air intake restricted.,Clean or replace your air filters.
Compressor,Oil in discharge air.,2. Worn piston rings.,Replace rings.
Compressor,Oil in discharge air.,3. Excessive oil in compressor.,Drain down to full mark on sight gauge.
Compressor,Oil in discharge air.,4. Wrong oil viscosity.,Check viscosity.
Compressor,Oil in discharge air.,5. Piston rings installed up-side down.,Replace crankshaft.
Compressor,Compressor vibrates.,1. Mounting bolts loose.,Tighten.
Compressor,Compressor vibrates.,2. Compressor not properly mounted.,Level compressor so that all feet touch the floor before tightening down.
Compressor,Compressor vibrates.,3. Pulley and flywheel misaligned.,Realign.
Compressor,Compressor vibrates.,4. Belts loose.,Tighten belts.
Compressor,Compressor vibrates.,5. Bent crankshaft.,Replace crankshaft.
Compressor,Air blowing out of inlet.,1. Broken first stage inlet valve.,Replace valve plate assembly.
Compressor,Insufficient pressure at point of use.,1. Leaks or restriction.,Check for leaks or restriction in hose or piping. Repair.
Compressor,Insufficient pressure at point of use.,2. Restricted air intake.,Clean or replace air filter element.
Compressor,Insufficient pressure at point of use.,3. Slipping belts.,Tighten belts.
Compressor,Insufficient pressure at point of use.,4. Service hose too small.,Replace with larger hose.
Compressor,Insufficient pressure at point of use.,5. Excessive air requirement.,Limit air usage to compressor capacity by using fewer or smaller tools.
Compressor,Receiver does not hold pressure when compressor is unloaded.,1. Faulty check valve.,"Bleed tank! Disassemble check valve assembly, clean or replace faulty parts."
Compressor,Excessive belt wear.,1. Pulley out of alignment.,Realign motor pulley with compressor flywheel.
Compressor,Excessive belt wear.,2. Belts too tight.,Adjust tension.
Compressor,Excessive belt wear.,3. Belts too loose.,Adjust tension.
Compressor,Excessive belt wear.,4. Pulley or flywheel wobble.,"Check for worn worn crankshaft, keyway or pulley bore, resulting from running with loose pulleys. Check for bent crankshaft."
Compressor,Excessive belt wear.,5. Nick in belt groove of pulley or flywheel.,File smooth.
Compressor,Excessive discharge air temperature.,1. Dirty cooling surfaces.,"Clean cooling surfaces of cylinder, intercooler and discharge tube."
Compressor,Excessive discharge air temperature.,2. Poor ventilation.,Improve ventilation or relocate compressor.
Compressor,Excessive discharge air temperature.,3. Blown head gasket.,Replace head gasket.
Compressor,Excessive discharge air temperature.,4. Restricted air intake.,Clean or replace air filter element.
